Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg – Other Paper Packaging,2720000,3450000,540000,850000,1350000,1150000,0,0,0,0,0,0,0,0,0
Products – Containers and Packaging – Paper & Paperboard Pkg – Other Paper & Paperboard Pkg -- Subtotal,6560000,8260000,8280000,6750000,7270000,5890000,5320000,5410000,5160000,4930000,5170000,5080000,5460000,5800000,5500000
Products – Containers and Packaging – Paper & Paperboard Pkg -- Total,11370000,18220000,18760000,17110000,15230000,13110000,8910000,7540000,7300000,7700000,7750000,7010000,7370000,8820000,6440000
Products – Containers and Packaging – Plastics Packaging – PET Bottles and Jars,0,0,250000,240000,1080000,1600000,1560000,1560000,1550000,1590000,1620000,1680000,1770000,1690000,1780000
Products – Containers and Packaging – Plastics Packaging – HDPE Natural Bottles,0,0,230000,420000,390000,470000,480000,440000,450000,450000,440000,430000,430000,430000,430000
Products – Containers and Packaging – Plastics Packaging – Other Containers,60000,910000,870000,1170000,1270000,1050000,1260000,1270000,1240000,1200000,1200000,1270000,1300000,1360000,1350000
"Products – Containers and Packaging – Plastics Packaging – Bags, Sacks, and Wraps -- Subtotal",0,0,1200000,2000000,3240000,3450000,2860000,2780000,2710000,2620000,2850000,2890000,2870000,3010000,3040000
Products – Containers and Packaging – Plastics Packaging – Other Plastics Packaging,60000,1180000,770000,1680000,2220000,2550000,3580000,3690000,3600000,3710000,3700000,3800000,3580000,3640000,3490000
Products – Containers and Packaging – Plastics Packaging -- Total,120000,2090000,3320000,5510000,8200000,9120000,9740000,9740000,9550000,9570000,9810000,10070000,9950000,10130000,10090000
Products – Containers and Packaging – Wood Packaging,2000000,2060000,3860000,6680000,5840000,6050000,6160000,5920000,5780000,5570000,5720000,5720000,7120000,6860000,6780000
Products – Containers and Packaging – Other Miscellaneous Packaging,120000,130000,130000,130000,190000,220000,280000,280000,280000,290000,290000,300000,280000,280000,270000
Products - Containers and Packaging - Total,24500000,40060000,43300000,39640000,37860000,36670000,31920000,29830000,29290000,29450000,29940000,29270000,31830000,33010000,30470000
Products - Wastes - Total,49010000,74960000,92470000,97500000,101340000,102910000,92840000,89670000,90360000,92180000,92530000,93350000,96740000,97940000,97040000
Other Wastes – Food Waste,12200000,12750000,12740000,19800000,24200000,26370000,28620000,28210000,27860000,28250000,29530000,30250000,30680000,30630000,35280000
Other Wastes – Yard Trimmings,20000000,23110000,26950000,25560000,11900000,9990000,11690000,11600000,11540000,10910000,10790000,10800000,9640000,8650000,10530000
Other Wastes – Miscellaneous Inorganic Wastes,1300000,1770000,2200000,2410000,2820000,3020000,3160000,3120000,3130000,3150000,3190000,3210000,3230000,3250000,3270000
Other Wastes – Total,33500000,37630000,41890000,47770000,38920000,39380000,43470000,42930000,42530000,42310000,43510000,44260000,43550000,42530000,49080000
Total MSW Landfilled – Weight ,82510000,112590000,134360000,145270000,140260000,142290000,136310000,132600000,132890000,134490000,136040000,137610000,140290000,140470000,146120000
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 28 Products Landfilled with Detail on Containers and Packaging in the U.S. Municipal Waste Stream, 1960 to 2018 (in tons)",,,,,,,,,,,,,,,
